TAG	VALOR_TAG
topic	Acção Soci
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	37
date	Fevereiro/2006
title	Universidade do Minho Um lugar de investigação, um motor de desenvolviment
topic	vertentes da Investigação, Internacionalização e Extensão Universi
interviewee	Prof. Manuel Mota
role	Vice-Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	40
date	Abril/2006
title	A entrevista com Nádia Franco (Futebol) e Jéssica Augusto (Atletism
topic	TUTORUM
interviewee	Nádia Franco, Jéssica Augus
role	aluna do 2º ano de Matemática e atleta de Futebol de 11 do C.D. Vinhós, aluna do 1º ano de Enfermagem e atleta do SCB
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	40
date	Abril/2006
title	UMinho é “boa mestra” na Responsabilidade S
topic	pelouro da Avaliação e Qualidade do Ensi
interviewee	Irene Montenegro
role	Pró-Reitor
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	41
date	Maio/2006
title	TUTORUM, mais que um apoio, sobretudo um merecimento Entrevista a Carla Machado (Taekwondo) e César Abreu (Andebol
topic	TUTORUM
interviewee	Carla Machado, César Abre
role	aluna do 4º ano de Direito da UMinho e actual campeã nacional de Taekwondo, aluno do 1º ano de Química Aplicada na UMinho e jogador sénior d
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	43
date	Agosto/2006
title	Entrevista ao Sr. Reitor da UMinho
topic	mandato como reitor
interviewee	António Guimarães Rodrigu
role	Reitor da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	44
date	Outubro/2006
title	Director do SDUM
topic	os Serviços de Documentação da Universidade do Minho e qual a sua importâ
interviewee	Eloy Rodrigues
role	Director do SDUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	45
date	Novembro/2006
title	TUTORUM, mais que um apoio, sobretudo um merecimento
topic	TUTORUM
interviewee	Ana Rodrigues e Márcia Cortinha
role	aluna da Licenciatura em Engenharia Biológica e atleta TUTORUM, aluna da Licenciatura em Gestão bi-campeã nacional de equita
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	46
date	Dezembro/2006
title	TUTORUM, mais que um apoio, sobretudo um merecimento Entrevista a Diogo Antunes, atleta do Vit�ria de Guimar�es
topic	Cultura. conhecer um pouco mais deste atleta de alta competiç�
interviewee	Diogo Antunes
role	aluno do 1º ano de Arquitectur
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	46
date	Dezembro/2006
title	AEDUM, a voz dos alunos de direito
topic	Academia. Associação de Estudantes de Direito da Universidade do Minho (AEDU
interviewee	Miguel Araújo Rodrigue
role	residente
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	46
date	Dezembro/2006
title	O nosso maior desejo � que os nossos horizontes nunca se apaguem e que o sonho nunca termine
topic	Acção Social. conhecer a história, os projectos e sonhos desta Mui Nobre e Trovadora T
interviewee	António Freita
role	Magistar Tunae da Afonsina
interviewer	Helder Miranda
university	Universidade do Minho
journal	UMdicas
issue	46
date	Dezembro/2006
title	Tradição e história do 1º de Deze
topic	Acção Social. o 1º de Dezem
interviewee	Eva Sousa
role	Directora Departamento Comercial e Relações Extern
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	TUTORUM, mais que um apoio, sobretudo um merecimento Entrevista a Humberto Gomes
topic	Acção Social. programa TUTOR
interviewee	Humberto Gomes
role	Aluno de Eng. Civil da UMinho e guarda-redes de andebol do Belenenses
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	Estudo dos Serviços Técnicos mostra a necessidade de se organizar de forma mais eficaz o uso das instalaç�
topic	Acção Social. Serviços Técn
interviewee	Engª. Maria Helena Campo
role	directora dos Serviços Técnicos da Universidade do Minho (S
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	Roque Teixeira, últimos dias à frente da AA
topic	Academia. 2 anos à frente da AAU
interviewee	Roque Teixeira
role	presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	O Presente e o Futuro do CeSIUM
topic	Academia. CeSIUM
interviewee	Pedro Nuno Vilaça Carvalh
role	presidente do CeSIUM
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	A Vida de uma Residência Universitár
topic	Acção Social. A Vida de uma Residência Universit�
interviewee	comissão de residentes da Residência Universitária Loyd de Br
role	
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	ELSA UMinho a sua expansão e objectivo
topic	Acção Social. expansão e objectivos da ELSA UMi
interviewee	A ELSA (European Law Students Association)
role	ELSA UMinho
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	47
date	Dezembro/2006
title	Uma viagem à história da Azeitu
topic	Cultura. Azeituna, historial, as suas raízes e os seus sonho
interviewee	A Azeituna Tuna de Ciências da Universidade do Minh
role	Azeituna
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	48
date	Janeiro/2007
title	TUTORUM, mais que um apoio, sobretudo um merecimento
topic	Academia. Entrevista a Vânia Vieir
interviewee	Vânia Vieir
role	atleta de alta competiç�
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	48
date	Janeiro/2007
title	A Vida de uma Residência Universitár
topic	Cultura. A Vida de uma Residência Universitár
interviewee	Comissão de Residente
role	Comissão de Residente
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	49
date	Fevereiro/2007
title	Serviço de Consult
topic	Acção Social. Serviço de Consu
interviewee	Rui Gomes
role	coordenador da Unidade de Psicologia do Desporto
interviewer	Ana Coimbra
university	Universidade do Minho
journal	UMdicas
issue	49
date	Fevereiro/2007
title	Núcleo de Estudantes de Medicina da Universidade do Minh
topic	Academia
interviewee	Sónia Duart
role	aluna do 3º ano da Licenciatura em Medicina e presidente da direcção do NE
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	49
date	Fevereiro/2007
title	TUM Teatro Universitário de Brag
topic	Cultura. Teatro Universitário do Minho (TUM
interviewee	Teatro Universitário de Braga (TUB
role	Teatro Universitário de Brag
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	51
date	Abril/2007
title	Pró-Reitor Luís Amaral em entrevis
topic	Academia
interviewee	Luís Amara
role	Professor Associado do Departamento de Sistemas de Informação da Escola de Engenharia da Universidade do Min
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	51
date	Abril/2007
title	Roboparty - um sucesso
topic	Cultura. Roboparty
interviewee	Fernando Ribeiro
role	Prof. de Electrónica Industria
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	51
date	Abril/2007
title	Entrevista a Pedro Dias
topic	Cultura.
interviewee	Pedro Dias
role	comissão organizadora da RoboPart
interviewer	Ana Coimbra
university	Universidade do Minho
journal	UMdicas
issue	51
date	Abril/2007
title	Dinâmica e expansão são palavras-chave para C
topic	Academia. Centro de Estudos de Administração Publi
interviewee	CEAP
role	CEAP
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	51
date	Abril/2007
title	Historial do Coro Académico da Universidade do Minho (CAUM
topic	Cultura
interviewee	Coro Académico da Universidade do Minho (CAUM
role	CAUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	52
date	Junho/2007
title	Entrevista com o Administrador dos SASUM, Engº Carlos Silv
topic	Acção Social. A Reabilitação da Residência Universitária Lloyd
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	53
date	Julho/2007
title	UMinho garante componente nacional recorrendo a suas receitas própria
topic	Acção Social. perceber toda a problemática em que se encontra o Ensino Superior em Portugal e em particular a situação da UMinho face ao quadro de financiamento por parte do go
interviewee	Prof. Sérgio Machado dos Santo
role	Reitor Honorário da Universidade do Minho e Presidente da Fundação Carlos Lloyd Br
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	53
date	Julho/2007
title	NECLUM Núcleo de Estudante dos Cursos de Letras da Universidade do Minh
topic	Academia
interviewee	NECLUM
role	aluno do 3º ano de Estudos Portugueses e Ingleses, actual presidente do NECLU
interviewer	Helder Miranda
university	Universidade do Minho
journal	UMdicas
issue	53
date	Julho/2007
title	Entrevista às vencedoras do Prémio Nacional de Inovação Ambie
topic	Academia. Prémio Nacional de Inovação Ambien
interviewee	Teresa Tavares, Isabel Neves
role	vencedoras do Prémio Nacional de Inovação Ambien
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	53
date	Julho/2007
title	ARCUM Balanço de uma Temporad
topic	Academia. ARCUM
interviewee	Helder Dias
role	Presidente da ARCUM
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	54
date	Outubro/2007
title	Jéssica Augusto medalha de ouro em Banguecoqu
topic	Desporto. medalha de ouro em Banguecoque
interviewee	Jessica Augusto
role	aluna de Enfermagem da UMinho e actual campeã nacional de corta-mat
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	54
date	Outubro/2007
title	 A melhor de sempre Entrevista a Paulo Ferreira Presidente da FADU
topic	Academia. Universíada
interviewee	Paulo Ferreira
role	presidente da FADU
interviewer	Ana Coimbra
university	Universidade do Minho
journal	UMdicas
issue	54
date	Outubro/2007
title	SASUM operam revolução para melhoria dos serviços à comunidade com vista à certificação de qu
topic	Ação Social. SASUM operam revolução para melhoria dos serv
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	54
date	Outubro/2007
title	UMinho abre portas aos novos alunos
topic	Academia. processo de inscriçõ
interviewee	Dra. Carla Lavrador
role	responsável dos Serviços Académicos da UMinho (SA
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	55
date	Novembro/2007
title	António Paisana 20 anos de futsa
topic	Desporto. uma das figuras mais carismáticas do desporto universitário dentro da Academia Minho
interviewee	António Paisan
role	docente do Departamento de Produção e Sistem
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	56
date	Janeiro/2008
title	Passadiço de Azurém, uma ligação entre dois mu
topic	Cultura. O simbolismo do Passadiç
interviewee	João Monteir
role	Pró-Reito
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	56
date	Janeiro/2008
title	Passadiço de Azurém, uma ligação entre dois mu
topic	Cultura. O simbolismo do Passadiç
interviewee	Ivo Silva
role	estudante de Arquitectura
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	57
date	Abril/2008
title	TUTORUM - José Fernandes um campeão de Taekwon
topic	Desporto. um campeão de Taekwond
interviewee	José Fernande
role	aluno de Engenharia Biomédic
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	57
date	Abril/2008
title	Interesse Público reconhecido ao Mundial Universitário de Badmint
topic	Desporto. O 10º Campeonato Mundial Universitário de Badminton (CMU
interviewee	Roque Teixeira
role	Presidente do Comité Organizador do CMU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	57
date	Abril/2008
title	Opum Dei - Os profetas da Ordem
topic	Cultura. A Ordem Profética da Universidade do Minho, mais conhecida por Opum De
interviewee	João Gonçalv
role	profeta Zézinh
interviewer	Carlos Daniel Rego
university	Universidade do Minho
journal	UMdicas
issue	58
date	Junho/2008
title	TUTORUM Fernando Ribeiro
topic	Desporto
interviewee	Fernando Ribeiro
role	aluno de Enfermagem
interviewer	Alexandre Carvalho
university	Universidade do Minho
journal	UMdicas
issue	59
date	Julho/2008
title	TUTORUM Sara Bernardo
topic	Desporto.
interviewee	Sara Bernardo
role	aluna do 2º ano de Medicina, Bi-campeão nacional universitá
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	59
date	Julho/2008
title	Prof. Doutor António Guimarã
topic	Academia. o futuro da academia
interviewee	António Guimarães Rodrigu
role	Sr. Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	59
date	Julho/2008
title	Universidade do Minho estabelece protocolos de cooperação com instituições de Ensino Superior de Maputo (Moçamb
topic	Academia. protocolos de cooperação com instituições de Ensino Superior de Ma
interviewee	Prof. Leandro Almeida
role	Vice-reitor
interviewer	Redaç�
university	Universidade do Minho
journal	UMdicas
issue	60
date	Setembro/2008
title	Entrevista ao Administrador dos Serviços de Acção Social, Eng.º Carlos S
topic	Ação Social. apresentação dos SASUM aos al
interviewee	Eng.º Carlos Silv
role	Administrador dos Serviços de Acção Soc
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	61
date	Outubro/2008
title	Entrevista ao Vice-reitor da Universidade do Minho, Prof. Manuel Mota
topic	Academia. os projectos, percepções e novidades para a área da internacionaliza
interviewee	Prof. Manuel Mota
role	Vice-reitor para a Investigação, a Internacionalização e a Extensão Universitária da Universidade do
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	61
date	Outubro/2008
title	Novos estudantes chegam à UMinh
topic	Academia. processo de inscriçõ
interviewee	Dr.ª Carla Lavrado
role	Directora dos Serviços Académic
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	61
date	Outubro/2008
title	Entrevista ao Vice-presidente da AAUM para o Dep. Pedagógic
topic	Academia. melhor perceber e dar a conhecer o funcionamento da AAUM neste momento de recepção aos novos membros da Academ
interviewee	Eduardo Rodrigues
role	Vice-presidente da AAUM para o Dep. Pedagógic
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	62
date	Novembro/2008
title	Jogos Galaico-Durienses uma ponte entre culturas
topic	Desporto. 23ª Edição dos Jogos Galaico Durien
interviewee	Carlos Silva
role	Presidente do Comité Organizador dos Jogos Galaico Duriense
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	62
date	Novembro/2008
title	Emanuel Silva, o melhor canoísta portugues da actualidad
topic	Desporto. o seu dia-a-dia e o seu futuro promissor
interviewee	Emanuel Silva
role	atleta/aluno de enfermagem
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	62
date	Novembro/2008
title	Portal AlumniUM, ligação ao passado e ao futu
topic	Academia. O portal AlumniUM
interviewee	Irene Montenegro
role	Pró-reitor
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	Universitat Autònoma de Barcelona de visita à UMin
topic	Academia. colegas da Universitat Autònoma de Barcelona de visita à Universidade do Min
interviewee	Mercè Masno
role	serviços desportivos da UA
interviewer	Paulo Ferreira
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	� um orgulho para mim defender as cores nacionais
topic	Desporto. conhecer agora um pouco mais deste estudante atleta
interviewee	Tiago Monteiro
role	aluno da Licenciatura em Gestão, é um dos muitos nomes que figuram entre a lista de atletas de alta competi�
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	José Fernandes é o primeiro campeão portug
topic	Desporto. a primeira medalha de ouro para Portugal num Europeu Universitário na modalidade de Taekwond
interviewee	José Fernande
role	aluno da Universidade do Minho conquistou a primeira medalha de ouro para Portugal
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	UMinho com uma das melhores infra-estruturas de Acção Social do pa
topic	Acção Social. infra-estruturas de Acção So
interviewee	Eng.º Carlos Silv
role	Administrador dos Serviços de Acção Soc
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	GSI obtém certificação de qualidade ISO 9001 2
topic	Academia. GSI
interviewee	José Fernande
role	Director do Gabinete de Sistemas de Informação (GS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	UMinho no topo da investigação nacion
topic	Academia. resultados da avaliação das Unidades de I
interviewee	Prof. Manuel Mota
role	responsável pela área da investigação da UM
interviewer	Redacç�
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	TecMinho a Associaç�
topic	Academia. A TecMinho
interviewee	Eng.ª Manuela Neve
role	responsável pelo Departamento de Formação Cont�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	64
date	Dezembro/2008
title	NAMGE Núcleo de Alunos em Marketing e Gestão Estratég
topic	Academia. linhas gerais deste recente núcleo de alunos de mestrad
interviewee	responsável do NAMG
role	NAMGE
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	65
date	Janeiro/2009
title	Armando Rocha - o senhor do desporto universitári
topic	Desporto. desporto universtári
interviewee	Armando Rocha
role	referência incontornável da história do desporto universitário naci
interviewer	Paulo Ferreira
university	Universidade do Minho
journal	UMdicas
issue	65
date	Janeiro/2009
title	Prémio de Excelência reconhece o trabalho desenvolvi
topic	Academia. O Instituto Confúcio da Universidade do Minh
interviewee	Prof. Dr. Acílio Rocha, Prof. Dr.ª Sun L
role	Presidente do Instituto Confúcio, Directora do Instituto Confúc
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	65
date	Janeiro/2009
title	UMinho desenvolve Portal Repositório Científico de Acesso Aberto de Portug
topic	Academia. O Repositório Científico de Acesso Aberto de Portugal (RCAA
interviewee	Dr. Eloy Rodrigues
role	responsável dos SDU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	65
date	Janeiro/2009
title	Associação de Estudantes da Escola Superior de Enfermagem Calouste Gulbenki
topic	Academia. objectivos desta Associação de Estudant
interviewee	Associação de Estudantes da Escola Superior de Enfermagem Calouste Gulbenki
role	AEESECG
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	65
date	Janeiro/2009
title	A minha vida é viajar e descobrir novos mundo
topic	Cultura. couch-surfing
interviewee	Luís Garci
role	couch-surfer
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	66
date	Fevereiro/2009
title	Pedro Póvoa, o sr. Olímpico do Taekwondo nacion
topic	Desporto. atleta de Taekwondo da UMinho
interviewee	Pedro Póvo
role	aluno de Psicologia
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	66
date	Fevereiro/2009
title	Entrevista ao Reitor da Universidade do Minho
topic	Academia. temas que afectam o ensino superior em geral e o dia-a-dia da Academia Minhota em particular
interviewee	Prof. Dr. António Guimarães Rodrigu
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	67
date	Março/200
title	Prof. Jorge Silvério nomeado Provedor do Adept
topic	Desporto. Jorge Silvéri
interviewee	Jorge Silvéri
role	mestre em psicologia do Desporto e Prof. na UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	68
date	Abril/2009
title	Entrevista a José Carvalho, VP AAUM para o Desportiv
topic	Academia. entrada para a Associação Académica da Universidade do Mi
interviewee	José Carvalh
role	Vice-presidente da Associação Académica da Universidade do Minho (AAUM) para o departamento desport
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	68
date	Abril/2009
title	Citius, Altius, Fortius... se dúvidas houvesse
topic	Desporto. O Campeonato Nacional Universitário de Pista ao Ar livr
interviewee	Miguel Caldas
role	técnico da modalidad
interviewer	Paulo Ferreira
university	Universidade do Minho
journal	UMdicas
issue	70
date	Junho/2009
title	Entrevista ao Administrador dos SASUM, Eng. Carlos Silva
topic	Acção Social. SAS
interviewee	Eng. Carlos Silva
role	Administrador dos SASUM
interviewer	Redacç�
university	Universidade do Minho
journal	UMdicas
issue	70
date	Junho/2009
title	Filipa Martins, Vice-Presidente da AAUM para as Saídas Profissionai
topic	Academia. mercado de trabalho
interviewee	Filipa Martins
role	Vice-Presidente da AAUM para as Saídas Profissionai
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	71
date	Julho/2009
title	Entrevista a Eng. Celeste Pereira Responsável do Departamento Alimenta
topic	Acção Social. O Departamento Alimentar (DA) dos Serviços de Acção S
interviewee	Eng. Celeste Pereira
role	responsável do D
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	71
date	Julho/2009
title	Entrevista aos responsáveis dos bares 1 e 
topic	Acção Social. bares 1 e
interviewee	Sr. Sá, Sr. Antón
role	responsáveis dos bares 1 e 
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	71
date	Julho/2009
title	Entrevista à Prof. Irene Montenegro, responsável pelo Projecto Alumni
topic	Academia. Portal AlumniUM
interviewee	Prof. Irene Montenegro
role	responsável do project
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	71
date	Julho/2009
title	Invenção do DEM protegida por patente Entrevista ao Prof. Jorge Marti
topic	Academia. um projecto patenteado direccionado para a área de mecâni
interviewee	Jorge Martins
role	professor e investigador
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	72
date	Setembro/2009
title	Apresentação das Unidades de serviço Alimentar Bar IV (EEng/ICS) Br
topic	Acção Social. Bar
interviewee	responsável do ba
role	responsável do ba
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	72
date	Setembro/2009
title	UMinho abriu portas das residências em Agosto e proporcionou férias ao resto do Pa
topic	Cultura. “Férias Low Co
interviewee	Drª. Luísa Sant
role	Chefe de Divisão do Departamento Social dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	72
date	Setembro/2009
title	Plano de Contingência da UMinho contra a gripe, informa-te e previne-t
topic	Acção Social. Plano de Contingência para a pandemia da Gr
interviewee	João Monteir
role	Pró-reito
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	73
date	Outubro/2009
title	Apresentação das Unidades de serviço Alimentar Bar V (ECS) - Br
topic	Acção Social. bar da Escola de Ciências da Sa
interviewee	Sr. Américo Jorge Cost
role	responsável do Ba
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	73
date	Outubro/2009
title	Entrevista a Madalena Alves, distinguida com Doutoramento Honóris Causa “Temos que ir à procura de novos desafios e sonhar um bocadin
topic	Academia. sua carreira e interesses
interviewee	Madalena Alves
role	docente do departamento de Engenharia Biológica da Universidade do Minh
interviewer	Francisca Fidalgo
university	Universidade do Minho
journal	UMdicas
issue	74
date	Novembro/2009
title	Apresentação das Unidades de serviço Alimentar Bar de Engenharia I – Guim
topic	Acção Social. Bar de Engenharia
interviewee	Sr. Albano Conde
role	responsável do Ba
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	74
date	Novembro/2009
title	Luísa Machado dos Santos, responsável do Departamento de Apoio Soci
topic	Acção Social. O Departamento de Apoio Soci
interviewee	Luísa Santo
role	responsável do Departamento de Apoio Socia
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	74
date	Novembro/2009
title	Entrevista ao Vice-Presidente do Departamento Desportivo da AAUMinho, José Carvalh
topic	desporto
interviewee	José Carvalh
role	Vice-Presidente do Departamento Desportivo da AAUM
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	74
date	Novembro/2009
title	Engenharia para o Futuro�
topic	Academia. As Jornadas de Engenharia Biológic
interviewee	Tiago Correia
role	um dos responsáveis pela organização das XII Jornadas de Engenharia Bioló
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	75
date	Dezembro/2009
